"genre","region","sales"
"Action","Other",182.22
"Adventure","Other",16.37
"Fighting","Other",35.87
"Misc","Other",73.10
"Platform","Other",51.01
"Puzzle","Other",12.30
"Racing","Other",75.51
"Role-Playing","Other",59.41
"Shooter","Other",103.33
"Simulation","Other",30.59
"Sports","Other",132.21
"Strategy","Other",10.73
