"release_year","genre","region","sales"
1990,"Action","North America",4.27
1990,"Platform","North America",14.14
1990,"Puzzle","North America",3.13
1990,"Racing","North America",3.10
1990,"Role-Playing","North America",0.08
1990,"Simulation","North America",0.46
1990,"Sports","North America",0.28
1990,"Action","European Union",0.97
1990,"Platform","European Union",3.99
1990,"Puzzle","European Union",0.80
1990,"Racing","European Union",1.20
1990,"Role-Playing","European Union",0.00
1990,"Simulation","European Union",0.17
1990,"Sports","European Union",0.50
1990,"Action","Japan",1.01
1990,"Platform","Japan",4.28
1990,"Puzzle","Japan",1.93
1990,"Racing","Japan",1.48
1990,"Role-Playing","Japan",4.42
1990,"Simulation","Japan",0.48
1990,"Sports","Japan",1.28
1990,"Action","Other",0.14
1990,"Platform","Other",0.57
1990,"Puzzle","Other",0.13
1990,"Racing","Other",0.47
1990,"Role-Playing","Other",0.02
1990,"Simulation","Other",0.02
1990,"Sports","Other",0.05
1990,"Action","Worldwide",6.39
1990,"Platform","Worldwide",22.97
1990,"Puzzle","Worldwide",6.00
1990,"Racing","Worldwide",6.26
1990,"Role-Playing","Worldwide",4.52
1990,"Simulation","Worldwide",1.14
1990,"Sports","Worldwide",2.11
