"release_year","genre","region","sales"
2005,"Action","North America",49.60
2005,"Adventure","North America",5.05
2005,"Fighting","North America",10.32
2005,"Misc","North America",26.76
2005,"Platform","North America",15.50
2005,"Puzzle","North America",6.54
2005,"Racing","North America",30.65
2005,"Role-Playing","North America",12.22
2005,"Shooter","North America",27.83
2005,"Simulation","North America",19.16
2005,"Sports","North America",36.06
2005,"Strategy","North America",2.46
2005,"Action","European Union",21.88
2005,"Adventure","European Union",2.03
2005,"Fighting","European Union",4.46
2005,"Misc","European Union",20.21
2005,"Platform","European Union",5.31
2005,"Puzzle","European Union",6.04
2005,"Racing","European Union",15.66
2005,"Role-Playing","European Union",4.90
2005,"Shooter","European Union",9.18
2005,"Simulation","European Union",16.28
2005,"Sports","European Union",14.06
2005,"Strategy","European Union",1.10
2005,"Action","Japan",6.32
2005,"Adventure","Japan",0.74
2005,"Fighting","Japan",3.07
2005,"Misc","Japan",7.96
2005,"Platform","Japan",1.12
2005,"Puzzle","Japan",6.21
2005,"Racing","Japan",4.37
2005,"Role-Playing","Japan",9.22
2005,"Shooter","Japan",1.32
2005,"Simulation","Japan",9.02
2005,"Sports","Japan",3.54
2005,"Strategy","Japan",1.38
2005,"Action","Other",7.59
2005,"Adventure","Other",0.64
2005,"Fighting","Other",1.80
2005,"Misc","Other",6.04
2005,"Platform","Other",1.39
2005,"Puzzle","Other",1.57
2005,"Racing","Other",5.35
2005,"Role-Playing","Other",2.04
2005,"Shooter","Other",3.19
2005,"Simulation","Other",4.51
2005,"Sports","Other",5.83
2005,"Strategy","Other",0.34
2005,"Action","Worldwide",85.53
2005,"Adventure","Worldwide",8.44
2005,"Fighting","Worldwide",19.71
2005,"Misc","Worldwide",61.08
2005,"Platform","Worldwide",23.39
2005,"Puzzle","Worldwide",20.42
2005,"Racing","Worldwide",56.03
2005,"Role-Playing","Worldwide",28.42
2005,"Shooter","Worldwide",41.55
2005,"Simulation","Worldwide",48.92
2005,"Sports","Worldwide",59.51
2005,"Strategy","Worldwide",5.31
