"release_year","genre","region","sales"
1993,"Action","North America",0.64
1993,"Adventure","North America",0.00
1993,"Fighting","North America",2.00
1993,"Misc","North America",0.00
1993,"Platform","North America",9.66
1993,"Puzzle","North America",0.62
1993,"Racing","North America",0.00
1993,"Role-Playing","North America",0.25
1993,"Shooter","North America",1.61
1993,"Simulation","North America",0.00
1993,"Sports","North America",0.04
1993,"Strategy","North America",0.30
1993,"Action","European Union",0.22
1993,"Adventure","European Union",0.00
1993,"Fighting","European Union",0.55
1993,"Misc","European Union",0.00
1993,"Platform","European Union",3.16
1993,"Puzzle","European Union",0.13
1993,"Racing","European Union",0.00
1993,"Role-Playing","European Union",0.07
1993,"Shooter","European Union",0.51
1993,"Simulation","European Union",0.00
1993,"Sports","European Union",0.01
1993,"Strategy","European Union",0.00
1993,"Action","Japan",0.92
1993,"Adventure","Japan",0.07
1993,"Fighting","Japan",6.11
1993,"Misc","Japan",0.30
1993,"Platform","Japan",5.21
1993,"Puzzle","Japan",2.39
1993,"Racing","Japan",0.36
1993,"Role-Playing","Japan",5.25
1993,"Shooter","Japan",0.89
1993,"Simulation","Japan",0.19
1993,"Sports","Japan",3.13
1993,"Strategy","Japan",0.51
1993,"Action","Other",0.03
1993,"Adventure","Other",0.00
1993,"Fighting","Other",0.09
1993,"Misc","Other",0.00
1993,"Platform","Other",0.65
1993,"Puzzle","Other",0.03
1993,"Racing","Other",0.00
1993,"Role-Playing","Other",0.02
1993,"Shooter","Other",0.07
1993,"Simulation","Other",0.00
1993,"Sports","Other",0.00
1993,"Strategy","Other",0.00
1993,"Action","Worldwide",1.81
1993,"Adventure","Worldwide",0.07
1993,"Fighting","Worldwide",8.75
1993,"Misc","Worldwide",0.30
1993,"Platform","Worldwide",18.67
1993,"Puzzle","Worldwide",3.17
1993,"Racing","Worldwide",0.36
1993,"Role-Playing","Worldwide",5.59
1993,"Shooter","Worldwide",3.08
1993,"Simulation","Worldwide",0.19
1993,"Sports","Worldwide",3.18
1993,"Strategy","Worldwide",0.81
