"release_year","genre","region","sales"
1989,"Action","North America",3.83
1989,"Misc","North America",0.00
1989,"Platform","North America",12.14
1989,"Puzzle","North America",26.54
1989,"Role-Playing","North America",0.00
1989,"Shooter","North America",0.40
1989,"Sports","North America",2.24
1989,"Action","European Union",0.46
1989,"Misc","European Union",0.00
1989,"Platform","European Union",3.08
1989,"Puzzle","European Union",3.61
1989,"Role-Playing","European Union",0.00
1989,"Shooter","European Union",0.39
1989,"Sports","European Union",0.90
1989,"Action","Japan",0.31
1989,"Misc","Japan",1.28
1989,"Platform","Japan",4.97
1989,"Puzzle","Japan",6.77
1989,"Role-Playing","Japan",2.20
1989,"Shooter","Japan",0.36
1989,"Sports","Japan",2.47
1989,"Action","Other",0.05
1989,"Misc","Other",0.00
1989,"Platform","Other",0.47
1989,"Puzzle","Other",0.83
1989,"Role-Playing","Other",0.00
1989,"Shooter","Other",0.04
1989,"Sports","Other",0.11
1989,"Action","Worldwide",4.64
1989,"Misc","Worldwide",1.28
1989,"Platform","Worldwide",20.66
1989,"Puzzle","Worldwide",37.75
1989,"Role-Playing","Worldwide",2.20
1989,"Shooter","Worldwide",1.20
1989,"Sports","Worldwide",5.72
