"release_year","genre","region","sales"
2014,"Action","North America",38.85
2014,"Adventure","North America",1.80
2014,"Fighting","North America",6.89
2014,"Misc","North America",9.47
2014,"Platform","North America",3.01
2014,"Puzzle","North America",0.59
2014,"Racing","North America",5.92
2014,"Role-Playing","North America",13.65
2014,"Shooter","North America",30.84
2014,"Simulation","North America",1.27
2014,"Sports","North America",19.82
2014,"Strategy","North America",0.16
2014,"Action","European Union",39.86
2014,"Adventure","European Union",1.82
2014,"Fighting","European Union",2.97
2014,"Misc","European Union",8.60
2014,"Platform","European Union",3.60
2014,"Puzzle","European Union",0.39
2014,"Racing","European Union",7.61
2014,"Role-Playing","European Union",10.96
2014,"Shooter","European Union",25.24
2014,"Simulation","European Union",3.56
2014,"Sports","European Union",17.91
2014,"Strategy","European Union",0.22
2014,"Action","Japan",6.53
2014,"Adventure","Japan",1.38
2014,"Fighting","Japan",4.83
2014,"Misc","Japan",2.42
2014,"Platform","Japan",1.27
2014,"Puzzle","Japan",0.41
2014,"Racing","Japan",1.47
2014,"Role-Playing","Japan",17.75
2014,"Shooter","Japan",1.08
2014,"Simulation","Japan",0.38
2014,"Sports","Japan",1.61
2014,"Strategy","Japan",0.56
2014,"Action","Other",11.99
2014,"Adventure","Other",0.57
2014,"Fighting","Other",1.16
2014,"Misc","Other",2.89
2014,"Platform","Other",0.93
2014,"Puzzle","Other",0.10
2014,"Racing","Other",1.66
2014,"Role-Playing","Other",3.26
2014,"Shooter","Other",8.05
2014,"Simulation","Other",0.37
2014,"Sports","Other",5.81
2014,"Strategy","Other",0.04
2014,"Action","Worldwide",97.30
2014,"Adventure","Worldwide",5.61
2014,"Fighting","Worldwide",15.83
2014,"Misc","Worldwide",23.35
2014,"Platform","Worldwide",8.78
2014,"Puzzle","Worldwide",1.49
2014,"Racing","Worldwide",16.64
2014,"Role-Playing","Worldwide",45.57
2014,"Shooter","Worldwide",65.26
2014,"Simulation","Worldwide",5.59
2014,"Sports","Worldwide",45.10
2014,"Strategy","Worldwide",0.99
