"release_year","genre","region","sales"
2016,"Action","North America",9.29
2016,"Adventure","North America",0.95
2016,"Fighting","North America",1.84
2016,"Misc","North America",0.76
2016,"Platform","North America",1.29
2016,"Puzzle","North America",0.00
2016,"Racing","North America",0.73
2016,"Role-Playing","North America",5.89
2016,"Shooter","North America",16.24
2016,"Simulation","North America",0.16
2016,"Sports","North America",7.54
2016,"Strategy","North America",0.24
2016,"Action","European Union",10.68
2016,"Adventure","European Union",1.32
2016,"Fighting","European Union",1.34
2016,"Misc","European Union",0.66
2016,"Platform","European Union",1.39
2016,"Puzzle","European Union",0.01
2016,"Racing","European Union",1.77
2016,"Role-Playing","European Union",4.28
2016,"Shooter","European Union",15.90
2016,"Simulation","European Union",1.27
2016,"Sports","European Union",12.01
2016,"Strategy","European Union",0.59
2016,"Action","Japan",7.07
2016,"Adventure","Japan",1.18
2016,"Fighting","Japan",0.75
2016,"Misc","Japan",1.04
2016,"Platform","Japan",0.11
2016,"Puzzle","Japan",0.00
2016,"Racing","Japan",0.01
2016,"Role-Playing","Japan",6.61
2016,"Shooter","Japan",1.06
2016,"Simulation","Japan",0.33
2016,"Sports","Japan",0.92
2016,"Strategy","Japan",0.23
2016,"Action","Other",3.07
2016,"Adventure","Other",0.37
2016,"Fighting","Other",0.54
2016,"Misc","Other",0.14
2016,"Platform","Other",0.44
2016,"Puzzle","Other",0.00
2016,"Racing","Other",0.28
2016,"Role-Playing","Other",1.40
2016,"Shooter","Other",5.02
2016,"Simulation","Other",0.13
2016,"Sports","Other",3.02
2016,"Strategy","Other",0.07
2016,"Action","Worldwide",30.23
2016,"Adventure","Worldwide",3.83
2016,"Fighting","Worldwide",4.44
2016,"Misc","Worldwide",2.63
2016,"Platform","Worldwide",3.21
2016,"Puzzle","Worldwide",0.01
2016,"Racing","Worldwide",2.83
2016,"Role-Playing","Worldwide",18.12
2016,"Shooter","Worldwide",38.23
2016,"Simulation","Worldwide",1.89
2016,"Sports","Worldwide",23.53
2016,"Strategy","Worldwide",1.15
