"release_year","genre","region","sales"
1999,"Action","North America",14.91
1999,"Adventure","North America",3.32
1999,"Fighting","North America",8.51
1999,"Misc","North America",11.95
1999,"Platform","North America",13.00
1999,"Puzzle","North America",0.81
1999,"Racing","North America",21.15
1999,"Role-Playing","North America",17.29
1999,"Shooter","North America",7.77
1999,"Simulation","North America",3.41
1999,"Sports","North America",15.09
1999,"Strategy","North America",8.85
1999,"Action","European Union",8.68
1999,"Adventure","European Union",2.78
1999,"Fighting","European Union",2.65
1999,"Misc","European Union",3.73
1999,"Platform","European Union",5.34
1999,"Puzzle","European Union",0.45
1999,"Racing","European Union",11.11
1999,"Role-Playing","European Union",11.17
1999,"Shooter","European Union",3.73
1999,"Simulation","European Union",1.33
1999,"Sports","European Union",7.03
1999,"Strategy","European Union",4.67
1999,"Action","Japan",2.90
1999,"Adventure","Japan",1.11
1999,"Fighting","Japan",2.83
1999,"Misc","Japan",4.32
1999,"Platform","Japan",1.66
1999,"Puzzle","Japan",0.02
1999,"Racing","Japan",3.35
1999,"Role-Playing","Japan",18.70
1999,"Shooter","Japan",0.29
1999,"Simulation","Japan",6.12
1999,"Sports","Japan",6.83
1999,"Strategy","Japan",4.21
1999,"Action","Other",1.24
1999,"Adventure","Other",0.40
1999,"Fighting","Other",0.32
1999,"Misc","Other",0.68
1999,"Platform","Other",0.80
1999,"Puzzle","Other",0.06
1999,"Racing","Other",1.58
1999,"Role-Playing","Other",1.93
1999,"Shooter","Other",0.44
1999,"Simulation","Other",0.60
1999,"Sports","Other",1.26
1999,"Strategy","Other",0.73
1999,"Action","Worldwide",27.77
1999,"Adventure","Worldwide",7.60
1999,"Fighting","Worldwide",14.26
1999,"Misc","Worldwide",20.65
1999,"Platform","Worldwide",20.82
1999,"Puzzle","Worldwide",1.36
1999,"Racing","Worldwide",37.27
1999,"Role-Playing","Worldwide",49.09
1999,"Shooter","Worldwide",12.25
1999,"Simulation","Worldwide",11.44
1999,"Sports","Worldwide",30.29
1999,"Strategy","Worldwide",18.45
