"genre","region","sales"
"Action","European Union",510.99
"Adventure","European Union",63.20
"Fighting","European Union",99.00
"Misc","European Union",210.60
"Platform","European Union",199.39
"Puzzle","European Union",49.78
"Racing","European Union",234.49
"Role-Playing","European Union",188.24
"Shooter","European Union",314.52
"Simulation","European Union",113.35
"Sports","European Union",371.33
"Strategy","European Union",44.79
