"release_year","genre","region","sales"
1987,"Action","North America",1.04
1987,"Adventure","North America",2.19
1987,"Fighting","North America",2.80
1987,"Platform","North America",0.90
1987,"Role-Playing","North America",0.47
1987,"Shooter","North America",0.66
1987,"Sports","North America",0.40
1987,"Action","European Union",0.06
1987,"Adventure","European Union",0.50
1987,"Fighting","European Union",0.65
1987,"Platform","European Union",0.14
1987,"Role-Playing","European Union",0.00
1987,"Shooter","European Union",0.03
1987,"Sports","European Union",0.03
1987,"Action","Japan",0.00
1987,"Adventure","Japan",1.61
1987,"Fighting","Japan",1.87
1987,"Platform","Japan",0.69
1987,"Role-Playing","Japan",4.18
1987,"Shooter","Japan",0.00
1987,"Sports","Japan",3.28
1987,"Action","Other",0.01
1987,"Adventure","Other",0.08
1987,"Fighting","Other",0.10
1987,"Platform","Other",0.01
1987,"Role-Playing","Other",0.00
1987,"Shooter","Other",0.00
1987,"Sports","Other",0.00
1987,"Action","Worldwide",1.12
1987,"Adventure","Worldwide",4.38
1987,"Fighting","Worldwide",5.42
1987,"Platform","Worldwide",1.74
1987,"Role-Playing","Worldwide",4.65
1987,"Shooter","Worldwide",0.71
1987,"Sports","Worldwide",3.72
