"release_year","genre","region","sales"
1985,"Action","North America",1.64
1985,"Fighting","North America",0.00
1985,"Platform","North America",29.93
1985,"Puzzle","North America",1.33
1985,"Shooter","North America",0.65
1985,"Simulation","North America",0.00
1985,"Sports","North America",0.18
1985,"Action","European Union",0.38
1985,"Fighting","European Union",0.00
1985,"Platform","European Union",3.77
1985,"Puzzle","European Union",0.19
1985,"Shooter","European Union",0.14
1985,"Simulation","European Union",0.03
1985,"Sports","European Union",0.23
1985,"Action","Japan",1.44
1985,"Fighting","Japan",1.05
1985,"Platform","Japan",8.67
1985,"Puzzle","Japan",1.66
1985,"Shooter","Japan",0.21
1985,"Simulation","Japan",0.00
1985,"Sports","Japan",1.53
1985,"Action","Other",0.06
1985,"Fighting","Other",0.00
1985,"Platform","Other",0.80
1985,"Puzzle","Other",0.03
1985,"Shooter","Other",0.00
1985,"Simulation","Other",0.01
1985,"Sports","Other",0.02
1985,"Action","Worldwide",3.52
1985,"Fighting","Worldwide",1.05
1985,"Platform","Worldwide",43.17
1985,"Puzzle","Worldwide",3.21
1985,"Shooter","Worldwide",1.00
1985,"Simulation","Worldwide",0.03
1985,"Sports","Worldwide",1.96
