"release_year","genre","region","sales"
1997,"Action","North America",14.40
1997,"Adventure","North America",2.36
1997,"Fighting","North America",6.03
1997,"Misc","North America",3.28
1997,"Platform","North America",10.81
1997,"Puzzle","North America",1.34
1997,"Racing","North America",15.52
1997,"Role-Playing","North America",5.31
1997,"Shooter","North America",15.00
1997,"Simulation","North America",1.90
1997,"Sports","North America",15.55
1997,"Strategy","North America",3.25
1997,"Action","European Union",9.86
1997,"Adventure","European Union",1.34
1997,"Fighting","European Union",2.65
1997,"Misc","European Union",1.22
1997,"Platform","European Union",6.45
1997,"Puzzle","European Union",0.53
1997,"Racing","European Union",10.82
1997,"Role-Playing","European Union",3.44
1997,"Shooter","European Union",4.50
1997,"Simulation","European Union",1.29
1997,"Sports","European Union",5.47
1997,"Strategy","European Union",0.75
1997,"Action","Japan",1.90
1997,"Adventure","Japan",1.05
1997,"Fighting","Japan",2.60
1997,"Misc","Japan",0.98
1997,"Platform","Japan",3.71
1997,"Puzzle","Japan",3.83
1997,"Racing","Japan",4.09
1997,"Role-Playing","Japan",11.56
1997,"Shooter","Japan",2.17
1997,"Simulation","Japan",5.91
1997,"Sports","Japan",7.59
1997,"Strategy","Japan",3.48
1997,"Action","Other",1.43
1997,"Adventure","Other",0.22
1997,"Fighting","Other",0.52
1997,"Misc","Other",0.20
1997,"Platform","Other",0.89
1997,"Puzzle","Other",0.17
1997,"Racing","Other",1.49
1997,"Role-Playing","Other",1.51
1997,"Shooter","Other",0.49
1997,"Simulation","Other",0.54
1997,"Sports","Other",1.43
1997,"Strategy","Other",0.24
1997,"Action","Worldwide",27.58
1997,"Adventure","Worldwide",4.96
1997,"Fighting","Worldwide",11.76
1997,"Misc","Worldwide",5.69
1997,"Platform","Worldwide",21.85
1997,"Puzzle","Worldwide",5.89
1997,"Racing","Worldwide",31.91
1997,"Role-Playing","Worldwide",21.79
1997,"Shooter","Worldwide",22.17
1997,"Simulation","Worldwide",9.65
1997,"Sports","Worldwide",30.02
1997,"Strategy","Worldwide",7.71
