"release_year","genre","region","sales"
2012,"Action","North America",51.79
2012,"Adventure","North America",1.78
2012,"Fighting","North America",4.24
2012,"Misc","North America",10.70
2012,"Platform","North America",7.24
2012,"Puzzle","North America",0.30
2012,"Racing","North America",4.26
2012,"Role-Playing","North America",17.60
2012,"Shooter","North America",35.03
2012,"Simulation","North America",3.11
2012,"Sports","North America",16.26
2012,"Strategy","North America",0.95
2012,"Action","European Union",41.21
2012,"Adventure","European Union",1.21
2012,"Fighting","European Union",2.24
2012,"Misc","European Union",6.28
2012,"Platform","European Union",5.83
2012,"Puzzle","European Union",0.40
2012,"Racing","European Union",7.10
2012,"Role-Playing","European Union",11.56
2012,"Shooter","European Union",25.61
2012,"Simulation","European Union",3.63
2012,"Sports","European Union",8.57
2012,"Strategy","European Union",0.95
2012,"Action","Japan",12.31
2012,"Adventure","Japan",2.42
2012,"Fighting","Japan",1.79
2012,"Misc","Japan",3.66
2012,"Platform","Japan",3.84
2012,"Puzzle","Japan",0.96
2012,"Racing","Japan",0.20
2012,"Role-Playing","Japan",14.40
2012,"Shooter","Japan",2.62
2012,"Simulation","Japan",5.89
2012,"Sports","Japan",2.60
2012,"Strategy","Japan",1.11
2012,"Action","Other",13.94
2012,"Adventure","Other",0.38
2012,"Fighting","Other",0.91
2012,"Misc","Other",1.58
2012,"Platform","Other",1.46
2012,"Puzzle","Other",0.06
2012,"Racing","Other",2.05
2012,"Role-Playing","Other",3.35
2012,"Shooter","Other",8.49
2012,"Simulation","Other",0.73
2012,"Sports","Other",2.99
2012,"Strategy","Other",0.25
2012,"Action","Worldwide",119.10
2012,"Adventure","Worldwide",5.80
2012,"Fighting","Worldwide",9.20
2012,"Misc","Worldwide",22.21
2012,"Platform","Worldwide",18.37
2012,"Puzzle","Worldwide",1.72
2012,"Racing","Worldwide",13.68
2012,"Role-Playing","Worldwide",46.91
2012,"Shooter","Worldwide",71.80
2012,"Simulation","Worldwide",13.36
2012,"Sports","Worldwide",30.42
2012,"Strategy","Worldwide",3.27
