"release_year","genre","region","sales"
2008,"Action","North America",72.02
2008,"Adventure","North America",12.83
2008,"Fighting","North America",18.05
2008,"Misc","North America",47.21
2008,"Platform","North America",17.40
2008,"Puzzle","North America",8.02
2008,"Racing","North America",33.25
2008,"Role-Playing","North America",24.98
2008,"Shooter","North America",34.89
2008,"Simulation","North America",26.62
2008,"Sports","North America",48.61
2008,"Strategy","North America",4.81
2008,"Action","European Union",38.68
2008,"Adventure","European Union",5.55
2008,"Fighting","European Union",6.99
2008,"Misc","European Union",20.73
2008,"Platform","European Union",10.52
2008,"Puzzle","European Union",5.00
2008,"Racing","European Union",23.99
2008,"Role-Playing","European Union",10.90
2008,"Shooter","European Union",16.05
2008,"Simulation","European Union",11.90
2008,"Sports","European Union",26.68
2008,"Strategy","European Union",4.15
2008,"Action","Japan",6.00
2008,"Adventure","Japan",4.34
2008,"Fighting","Japan",6.14
2008,"Misc","Japan",7.24
2008,"Platform","Japan",2.36
2008,"Puzzle","Japan",0.92
2008,"Racing","Japan",4.21
2008,"Role-Playing","Japan",17.51
2008,"Shooter","Japan",0.77
2008,"Simulation","Japan",3.66
2008,"Sports","Japan",5.37
2008,"Strategy","Japan",1.73
2008,"Action","Other",18.26
2008,"Adventure","Other",1.91
2008,"Fighting","Other",3.84
2008,"Misc","Other",10.88
2008,"Platform","Other",4.85
2008,"Puzzle","Other",1.29
2008,"Racing","Other",8.59
2008,"Role-Playing","Other",5.59
2008,"Shooter","Other",7.45
2008,"Simulation","Other",3.93
2008,"Sports","Other",13.92
2008,"Strategy","Other",0.91
2008,"Action","Worldwide",135.01
2008,"Adventure","Worldwide",24.71
2008,"Fighting","Worldwide",35.04
2008,"Misc","Worldwide",86.05
2008,"Platform","Worldwide",35.14
2008,"Puzzle","Worldwide",15.29
2008,"Racing","Worldwide",70.03
2008,"Role-Playing","Worldwide",59.03
2008,"Shooter","Worldwide",59.22
2008,"Simulation","Worldwide",46.09
2008,"Sports","Worldwide",94.63
2008,"Strategy","Worldwide",11.55
