"release_year","genre","region","sales"
1984,"Action","North America",0.80
1984,"Misc","North America",0.00
1984,"Platform","North America",0.00
1984,"Puzzle","North America",0.69
1984,"Racing","North America",2.30
1984,"Shooter","North America",27.79
1984,"Sports","North America",1.70
1984,"Action","European Union",0.19
1984,"Misc","European Union",0.00
1984,"Platform","European Union",0.00
1984,"Puzzle","European Union",0.18
1984,"Racing","European Union",0.49
1984,"Shooter","European Union",0.85
1984,"Sports","European Union",0.39
1984,"Action","Japan",0.83
1984,"Misc","Japan",1.45
1984,"Platform","Japan",0.69
1984,"Puzzle","Japan",2.23
1984,"Racing","Japan",3.09
1984,"Shooter","Japan",1.96
1984,"Sports","Japan",4.02
1984,"Action","Other",0.03
1984,"Misc","Other",0.00
1984,"Platform","Other",0.00
1984,"Puzzle","Other",0.04
1984,"Racing","Other",0.07
1984,"Shooter","Other",0.50
1984,"Sports","Other",0.06
1984,"Action","Worldwide",1.85
1984,"Misc","Worldwide",1.45
1984,"Platform","Worldwide",0.69
1984,"Puzzle","Worldwide",3.14
1984,"Racing","Worldwide",5.95
1984,"Shooter","Worldwide",31.10
1984,"Sports","Worldwide",6.18
