"genre","region","sales"
"Action","North America",863.17
"Adventure","North America",101.52
"Fighting","North America",220.51
"Misc","North America",399.57
"Platform","North America",444.44
"Puzzle","North America",121.13
"Racing","North America",356.86
"Role-Playing","North America",330.04
"Shooter","North America",584.83
"Simulation","North America",180.67
"Sports","North America",671.20
"Strategy","North America",67.75
