"release_year","genre","region","sales"
2001,"Action","North America",29.81
2001,"Adventure","North America",3.92
2001,"Fighting","North America",9.19
2001,"Misc","North America",9.96
2001,"Platform","North America",21.61
2001,"Puzzle","North America",5.22
2001,"Racing","North America",29.40
2001,"Role-Playing","North America",7.46
2001,"Shooter","North America",15.11
2001,"Simulation","North America",10.30
2001,"Sports","North America",28.80
2001,"Strategy","North America",3.20
2001,"Action","European Union",19.25
2001,"Adventure","European Union",3.67
2001,"Fighting","European Union",5.00
2001,"Misc","European Union",4.25
2001,"Platform","European Union",11.62
2001,"Puzzle","European Union",1.84
2001,"Racing","European Union",17.89
2001,"Role-Playing","European Union",4.14
2001,"Shooter","European Union",7.50
2001,"Simulation","European Union",4.35
2001,"Sports","European Union",14.14
2001,"Strategy","European Union",1.24
2001,"Action","Japan",5.99
2001,"Adventure","Japan",1.07
2001,"Fighting","Japan",2.73
2001,"Misc","Japan",1.26
2001,"Platform","Japan",3.54
2001,"Puzzle","Japan",0.70
2001,"Racing","Japan",4.00
2001,"Role-Playing","Japan",9.55
2001,"Shooter","Japan",0.53
2001,"Simulation","Japan",3.77
2001,"Sports","Japan",3.90
2001,"Strategy","Japan",2.82
2001,"Action","Other",4.33
2001,"Adventure","Other",0.48
2001,"Fighting","Other",1.18
2001,"Misc","Other",0.92
2001,"Platform","Other",2.56
2001,"Puzzle","Other",0.18
2001,"Racing","Other",4.54
2001,"Role-Playing","Other",0.87
2001,"Shooter","Other",1.67
2001,"Simulation","Other",1.12
2001,"Sports","Other",4.62
2001,"Strategy","Other",0.26
2001,"Action","Worldwide",59.39
2001,"Adventure","Worldwide",9.12
2001,"Fighting","Worldwide",18.12
2001,"Misc","Worldwide",16.40
2001,"Platform","Worldwide",39.28
2001,"Puzzle","Worldwide",8.00
2001,"Racing","Worldwide",55.81
2001,"Role-Playing","Worldwide",22.06
2001,"Shooter","Worldwide",24.77
2001,"Simulation","Worldwide",19.54
2001,"Sports","Worldwide",51.43
2001,"Strategy","Worldwide",7.55
