"release_year","genre","region","sales"
1994,"Action","North America",0.57
1994,"Adventure","North America",0.06
1994,"Fighting","North America",2.86
1994,"Misc","North America",1.49
1994,"Platform","North America",14.88
1994,"Puzzle","North America",0.00
1994,"Racing","North America",0.00
1994,"Role-Playing","North America",0.86
1994,"Shooter","North America",3.71
1994,"Simulation","North America",0.34
1994,"Sports","North America",2.50
1994,"Strategy","North America",0.89
1994,"Action","European Union",0.12
1994,"Adventure","European Union",2.81
1994,"Fighting","European Union",0.98
1994,"Misc","European Union",0.81
1994,"Platform","European Union",5.73
1994,"Puzzle","European Union",0.00
1994,"Racing","European Union",0.00
1994,"Role-Playing","European Union",0.00
1994,"Shooter","European Union",2.57
1994,"Simulation","European Union",0.23
1994,"Sports","European Union",0.55
1994,"Strategy","European Union",1.08
1994,"Action","Japan",0.84
1994,"Adventure","Japan",0.87
1994,"Fighting","Japan",4.44
1994,"Misc","Japan",0.46
1994,"Platform","Japan",7.02
1994,"Puzzle","Japan",1.53
1994,"Racing","Japan",2.13
1994,"Role-Playing","Japan",6.23
1994,"Shooter","Japan",1.67
1994,"Simulation","Japan",2.10
1994,"Sports","Japan",5.23
1994,"Strategy","Japan",1.47
1994,"Action","Other",0.02
1994,"Adventure","Other",0.00
1994,"Fighting","Other",0.20
1994,"Misc","Other",0.10
1994,"Platform","Other",1.13
1994,"Puzzle","Other",0.00
1994,"Racing","Other",0.05
1994,"Role-Playing","Other",0.04
1994,"Shooter","Other",0.35
1994,"Simulation","Other",0.05
1994,"Sports","Other",0.13
1994,"Strategy","Other",0.13
1994,"Action","Worldwide",1.55
1994,"Adventure","Worldwide",3.74
1994,"Fighting","Worldwide",8.48
1994,"Misc","Worldwide",2.86
1994,"Platform","Worldwide",28.74
1994,"Puzzle","Worldwide",1.53
1994,"Racing","Worldwide",2.19
1994,"Role-Playing","Worldwide",7.11
1994,"Shooter","Worldwide",8.30
1994,"Simulation","Worldwide",2.73
1994,"Sports","Worldwide",8.39
1994,"Strategy","Worldwide",3.56
