"release_year","genre","region","sales"
2003,"Action","North America",37.74
2003,"Adventure","North America",0.96
2003,"Fighting","North America",13.32
2003,"Misc","North America",10.71
2003,"Platform","North America",25.31
2003,"Puzzle","North America",0.93
2003,"Racing","North America",27.65
2003,"Role-Playing","North America",13.80
2003,"Shooter","North America",16.13
2003,"Simulation","North America",12.06
2003,"Sports","North America",31.45
2003,"Strategy","North America",3.55
2003,"Action","European Union",20.88
2003,"Adventure","European Union",0.57
2003,"Fighting","European Union",5.78
2003,"Misc","European Union",7.46
2003,"Platform","European Union",12.50
2003,"Puzzle","European Union",0.28
2003,"Racing","European Union",17.23
2003,"Role-Playing","European Union",5.70
2003,"Shooter","European Union",8.54
2003,"Simulation","European Union",6.47
2003,"Sports","European Union",15.96
2003,"Strategy","European Union",2.44
2003,"Action","Japan",4.19
2003,"Adventure","Japan",0.43
2003,"Fighting","Japan",2.95
2003,"Misc","Japan",3.58
2003,"Platform","Japan",2.22
2003,"Puzzle","Japan",1.14
2003,"Racing","Japan",2.83
2003,"Role-Playing","Japan",9.63
2003,"Shooter","Japan",0.21
2003,"Simulation","Japan",1.46
2003,"Sports","Japan",4.00
2003,"Strategy","Japan",1.56
2003,"Action","Other",5.17
2003,"Adventure","Other",0.16
2003,"Fighting","Other",1.74
2003,"Misc","Other",2.04
2003,"Platform","Other",2.78
2003,"Puzzle","Other",0.07
2003,"Racing","Other",4.47
2003,"Role-Playing","Other",1.15
2003,"Shooter","Other",2.21
2003,"Simulation","Other",1.20
2003,"Sports","Other",4.55
2003,"Strategy","Other",0.38
2003,"Action","Worldwide",67.93
2003,"Adventure","Worldwide",2.14
2003,"Fighting","Worldwide",23.73
2003,"Misc","Worldwide",23.82
2003,"Platform","Worldwide",42.89
2003,"Puzzle","Worldwide",2.42
2003,"Racing","Worldwide",52.19
2003,"Role-Playing","Worldwide",30.26
2003,"Shooter","Worldwide",27.13
2003,"Simulation","Worldwide",21.19
2003,"Sports","Worldwide",56.11
2003,"Strategy","Worldwide",7.99
