"release_year","genre","region","sales"
2006,"Action","North America",38.27
2006,"Adventure","North America",5.11
2006,"Fighting","North America",12.44
2006,"Misc","North America",25.90
2006,"Platform","North America",23.11
2006,"Puzzle","North America",4.37
2006,"Racing","North America",20.25
2006,"Role-Playing","North America",24.22
2006,"Shooter","North America",23.02
2006,"Simulation","North America",10.60
2006,"Sports","North America",72.78
2006,"Strategy","North America",2.06
2006,"Action","European Union",15.03
2006,"Adventure","European Union",2.58
2006,"Fighting","European Union",4.48
2006,"Misc","European Union",19.26
2006,"Platform","European Union",11.80
2006,"Puzzle","European Union",2.08
2006,"Racing","European Union",8.76
2006,"Role-Playing","European Union",7.95
2006,"Shooter","European Union",8.73
2006,"Simulation","European Union",6.12
2006,"Sports","European Union",40.06
2006,"Strategy","European Union",1.04
2006,"Action","Japan",5.78
2006,"Adventure","Japan",2.62
2006,"Fighting","Japan",2.82
2006,"Misc","Japan",15.74
2006,"Platform","Japan",9.21
2006,"Puzzle","Japan",3.40
2006,"Racing","Japan",0.87
2006,"Role-Playing","Japan",19.83
2006,"Shooter","Japan",1.89
2006,"Simulation","Japan",2.38
2006,"Sports","Japan",8.69
2006,"Strategy","Japan",0.51
2006,"Action","Other",6.98
2006,"Adventure","Other",1.05
2006,"Fighting","Other",2.68
2006,"Misc","Other",6.07
2006,"Platform","Other",5.17
2006,"Puzzle","Other",0.89
2006,"Racing","Other",3.93
2006,"Role-Playing","Other",5.37
2006,"Shooter","Other",4.60
2006,"Simulation","Other",2.42
2006,"Sports","Other",14.25
2006,"Strategy","Other",0.54
2006,"Action","Worldwide",66.13
2006,"Adventure","Worldwide",11.37
2006,"Fighting","Worldwide",22.42
2006,"Misc","Worldwide",67.07
2006,"Platform","Worldwide",49.35
2006,"Puzzle","Worldwide",10.80
2006,"Racing","Worldwide",33.86
2006,"Role-Playing","Worldwide",57.37
2006,"Shooter","Worldwide",38.24
2006,"Simulation","Worldwide",21.56
2006,"Sports","Worldwide",135.83
2006,"Strategy","Worldwide",4.22
