"release_year","genre","region","sales"
2015,"Action","North America",24.39
2015,"Adventure","North America",2.89
2015,"Fighting","North America",3.70
2015,"Misc","North America",4.82
2015,"Platform","North America",2.49
2015,"Puzzle","North America",0.06
2015,"Racing","North America",2.09
2015,"Role-Playing","North America",13.93
2015,"Shooter","North America",31.94
2015,"Simulation","North America",1.20
2015,"Sports","North America",18.77
2015,"Strategy","North America",0.58
2015,"Action","European Union",24.14
2015,"Adventure","European Union",3.35
2015,"Fighting","European Union",2.38
2015,"Misc","European Union",3.60
2015,"Platform","European Union",1.81
2015,"Puzzle","European Union",0.12
2015,"Racing","European Union",4.75
2015,"Role-Playing","European Union",12.93
2015,"Shooter","European Union",24.38
2015,"Simulation","European Union",2.47
2015,"Sports","European Union",15.81
2015,"Strategy","European Union",0.98
2015,"Action","Japan",15.98
2015,"Adventure","Japan",1.04
2015,"Fighting","Japan",0.79
2015,"Misc","Japan",2.15
2015,"Platform","Japan",1.31
2015,"Puzzle","Japan",0.52
2015,"Racing","Japan",0.28
2015,"Role-Playing","Japan",6.80
2015,"Shooter","Japan",2.73
2015,"Simulation","Japan",1.60
2015,"Sports","Japan",0.73
2015,"Strategy","Japan",0.16
2015,"Action","Other",7.51
2015,"Adventure","Other",0.88
2015,"Fighting","Other",1.03
2015,"Misc","Other",1.00
2015,"Platform","Other",0.44
2015,"Puzzle","Other",0.01
2015,"Racing","Other",0.95
2015,"Role-Playing","Other",3.98
2015,"Shooter","Other",8.46
2015,"Simulation","Other",0.39
2015,"Sports","Other",5.53
2015,"Strategy","Other",0.13
2015,"Action","Worldwide",72.04
2015,"Adventure","Worldwide",8.15
2015,"Fighting","Worldwide",7.92
2015,"Misc","Worldwide",11.56
2015,"Platform","Worldwide",6.06
2015,"Puzzle","Worldwide",0.72
2015,"Racing","Worldwide",8.07
2015,"Role-Playing","Worldwide",37.66
2015,"Shooter","Worldwide",67.49
2015,"Simulation","Worldwide",5.64
2015,"Sports","Worldwide",40.90
2015,"Strategy","Worldwide",1.84
