"release_year","genre","region","sales"
1991,"Action","North America",3.47
1991,"Adventure","North America",0.85
1991,"Fighting","North America",0.00
1991,"Misc","North America",0.00
1991,"Platform","North America",4.36
1991,"Puzzle","North America",0.86
1991,"Racing","North America",0.58
1991,"Role-Playing","North America",0.24
1991,"Shooter","North America",1.06
1991,"Simulation","North America",0.93
1991,"Sports","North America",0.41
1991,"Strategy","North America",0.00
1991,"Action","European Union",1.08
1991,"Adventure","European Union",0.31
1991,"Fighting","European Union",0.00
1991,"Misc","European Union",0.00
1991,"Platform","European Union",1.19
1991,"Puzzle","European Union",0.16
1991,"Racing","European Union",0.37
1991,"Role-Playing","European Union",0.09
1991,"Shooter","European Union",0.38
1991,"Simulation","European Union",0.27
1991,"Sports","European Union",0.10
1991,"Strategy","European Union",0.00
1991,"Action","Japan",2.06
1991,"Adventure","Japan",1.04
1991,"Fighting","Japan",0.39
1991,"Misc","Japan",0.08
1991,"Platform","Japan",1.91
1991,"Puzzle","Japan",2.11
1991,"Racing","Japan",0.15
1991,"Role-Playing","Japan",2.81
1991,"Shooter","Japan",0.50
1991,"Simulation","Japan",0.91
1991,"Sports","Japan",1.88
1991,"Strategy","Japan",0.94
1991,"Action","Other",0.15
1991,"Adventure","Other",0.04
1991,"Fighting","Other",0.00
1991,"Misc","Other",0.00
1991,"Platform","Other",0.17
1991,"Puzzle","Other",0.11
1991,"Racing","Other",0.04
1991,"Role-Playing","Other",0.12
1991,"Shooter","Other",0.05
1991,"Simulation","Other",0.04
1991,"Sports","Other",0.02
1991,"Strategy","Other",0.00
1991,"Action","Worldwide",6.76
1991,"Adventure","Worldwide",2.24
1991,"Fighting","Worldwide",0.39
1991,"Misc","Worldwide",0.08
1991,"Platform","Worldwide",7.64
1991,"Puzzle","Worldwide",3.24
1991,"Racing","Worldwide",1.14
1991,"Role-Playing","Worldwide",3.25
1991,"Shooter","Worldwide",2.00
1991,"Simulation","Worldwide",2.14
1991,"Sports","Worldwide",2.41
1991,"Strategy","Worldwide",0.94
