"release_year","genre","region","sales"
2009,"Action","North America",71.08
2009,"Adventure","North America",9.85
2009,"Fighting","North America",17.51
2009,"Misc","North America",40.60
2009,"Platform","North America",20.03
2009,"Puzzle","North America",11.09
2009,"Racing","North America",14.93
2009,"Role-Playing","North America",18.78
2009,"Shooter","North America",38.90
2009,"Simulation","North America",17.35
2009,"Sports","North America",70.85
2009,"Strategy","North America",4.58
2009,"Action","European Union",38.28
2009,"Adventure","European Union",5.44
2009,"Fighting","European Union",7.41
2009,"Misc","European Union",20.18
2009,"Platform","European Union",11.38
2009,"Puzzle","European Union",5.44
2009,"Racing","European Union",12.88
2009,"Role-Playing","European Union",8.08
2009,"Shooter","European Union",20.85
2009,"Simulation","European Union",11.51
2009,"Sports","European Union",41.67
2009,"Strategy","European Union",4.82
2009,"Action","Japan",11.96
2009,"Adventure","Japan",3.35
2009,"Fighting","Japan",3.02
2009,"Misc","Japan",5.80
2009,"Platform","Japan",4.84
2009,"Puzzle","Japan",1.65
2009,"Racing","Japan",0.50
2009,"Role-Playing","Japan",17.07
2009,"Shooter","Japan",1.12
2009,"Simulation","Japan",0.95
2009,"Sports","Japan",9.81
2009,"Strategy","Japan",1.82
2009,"Action","Other",16.37
2009,"Adventure","Other",1.59
2009,"Fighting","Other",3.96
2009,"Misc","Other",9.23
2009,"Platform","Other",4.28
2009,"Puzzle","Other",1.61
2009,"Racing","Other",5.38
2009,"Role-Playing","Other",3.38
2009,"Shooter","Other",8.42
2009,"Simulation","Other",3.11
2009,"Sports","Other",15.04
2009,"Strategy","Other",1.07
2009,"Action","Worldwide",137.66
2009,"Adventure","Worldwide",20.20
2009,"Fighting","Worldwide",31.88
2009,"Misc","Worldwide",75.80
2009,"Platform","Worldwide",40.58
2009,"Puzzle","Worldwide",19.80
2009,"Racing","Worldwide",33.65
2009,"Role-Playing","Worldwide",47.29
2009,"Shooter","Worldwide",69.30
2009,"Simulation","Worldwide",33.03
2009,"Sports","Worldwide",137.33
2009,"Strategy","Worldwide",12.36
