"release_year","genre","region","sales"
2010,"Action","North America",59.72
2010,"Adventure","North America",6.08
2010,"Fighting","North America",7.42
2010,"Misc","North America",54.11
2010,"Platform","North America",16.62
2010,"Puzzle","North America",6.36
2010,"Racing","North America",14.13
2010,"Role-Playing","North America",28.27
2010,"Shooter","North America",43.04
2010,"Simulation","North America",11.02
2010,"Sports","North America",48.11
2010,"Strategy","North America",5.77
2010,"Action","European Union",34.51
2010,"Adventure","European Union",4.92
2010,"Fighting","European Union",4.09
2010,"Misc","European Union",26.37
2010,"Platform","European Union",8.23
2010,"Puzzle","European Union",3.02
2010,"Racing","European Union",14.17
2010,"Role-Playing","European Union",13.18
2010,"Shooter","European Union",23.43
2010,"Simulation","European Union",6.67
2010,"Sports","European Union",28.36
2010,"Strategy","European Union",4.47
2010,"Action","Japan",8.58
2010,"Adventure","Japan",3.60
2010,"Fighting","Japan",1.52
2010,"Misc","Japan",6.69
2010,"Platform","Japan",3.68
2010,"Puzzle","Japan",0.49
2010,"Racing","Japan",1.04
2010,"Role-Playing","Japan",23.67
2010,"Shooter","Japan",2.12
2010,"Simulation","Japan",1.66
2010,"Sports","Japan",4.42
2010,"Strategy","Japan",2.02
2010,"Action","Other",12.48
2010,"Adventure","Other",1.36
2010,"Fighting","Other",1.66
2010,"Misc","Other",7.97
2010,"Platform","Other",2.51
2010,"Puzzle","Other",0.88
2010,"Racing","Other",5.03
2010,"Role-Playing","Other",4.53
2010,"Shooter","Other",8.24
2010,"Simulation","Other",2.14
2010,"Sports","Other",10.35
2010,"Strategy","Other",1.42
2010,"Action","Worldwide",115.49
2010,"Adventure","Worldwide",16.00
2010,"Fighting","Worldwide",14.72
2010,"Misc","Worldwide",95.20
2010,"Platform","Worldwide",30.98
2010,"Puzzle","Worldwide",10.74
2010,"Racing","Worldwide",34.36
2010,"Role-Playing","Worldwide",69.57
2010,"Shooter","Worldwide",76.87
2010,"Simulation","Worldwide",21.55
2010,"Sports","Worldwide",91.34
2010,"Strategy","Worldwide",13.77
