"genre","region","sales"
"Action","Japan",160.15
"Adventure","Japan",52.24
"Fighting","Japan",87.28
"Misc","Japan",107.02
"Platform","Japan",130.71
"Puzzle","Japan",56.68
"Racing","Japan",56.63
"Role-Playing","Japan",353.44
"Shooter","Japan",38.68
"Simulation","Japan",63.64
"Sports","Japan",134.93
"Strategy","Japan",49.30
