"release_year","genre","region","sales"
1998,"Action","North America",20.15
1998,"Adventure","North America",3.17
1998,"Fighting","North America",18.43
1998,"Misc","North America",5.53
1998,"Platform","North America",17.05
1998,"Puzzle","North America",2.58
1998,"Racing","North America",14.63
1998,"Role-Playing","North America",9.16
1998,"Shooter","North America",5.61
1998,"Simulation","North America",2.79
1998,"Sports","North America",24.70
1998,"Strategy","North America",4.56
1998,"Action","European Union",11.90
1998,"Adventure","European Union",2.52
1998,"Fighting","European Union",7.80
1998,"Misc","European Union",2.91
1998,"Platform","European Union",8.19
1998,"Puzzle","European Union",1.59
1998,"Racing","European Union",9.62
1998,"Role-Playing","European Union",6.44
1998,"Shooter","European Union",3.36
1998,"Simulation","European Union",0.77
1998,"Sports","European Union",10.21
1998,"Strategy","European Union",1.59
1998,"Action","Japan",5.55
1998,"Adventure","Japan",2.91
1998,"Fighting","Japan",4.18
1998,"Misc","Japan",2.88
1998,"Platform","Japan",3.29
1998,"Puzzle","Japan",1.84
1998,"Racing","Japan",2.30
1998,"Role-Playing","Japan",11.33
1998,"Shooter","Japan",0.36
1998,"Simulation","Japan",3.36
1998,"Sports","Japan",5.06
1998,"Strategy","Japan",6.98
1998,"Action","Other",1.81
1998,"Adventure","Other",0.44
1998,"Fighting","Other",1.27
1998,"Misc","Other",0.58
1998,"Platform","Other",1.30
1998,"Puzzle","Other",0.34
1998,"Racing","Other",1.33
1998,"Role-Playing","Other",1.15
1998,"Shooter","Other",0.47
1998,"Simulation","Other",0.19
1998,"Sports","Other",1.78
1998,"Strategy","Other",0.35
1998,"Action","Worldwide",39.44
1998,"Adventure","Worldwide",9.05
1998,"Fighting","Worldwide",31.66
1998,"Misc","Worldwide",11.94
1998,"Platform","Worldwide",29.88
1998,"Puzzle","Worldwide",6.34
1998,"Racing","Worldwide",27.90
1998,"Role-Playing","Worldwide",28.08
1998,"Shooter","Worldwide",9.80
1998,"Simulation","Worldwide",7.11
1998,"Sports","Worldwide",41.79
1998,"Strategy","Worldwide",13.46
