"release_year","genre","region","sales"
2011,"Action","North America",53.08
2011,"Adventure","North America",5.84
2011,"Fighting","North America",11.84
2011,"Misc","North America",31.50
2011,"Platform","North America",12.90
2011,"Puzzle","North America",1.61
2011,"Racing","North America",14.76
2011,"Role-Playing","North America",19.78
2011,"Shooter","North America",49.66
2011,"Simulation","North America",7.40
2011,"Sports","North America",27.17
2011,"Strategy","North America",3.25
2011,"Action","European Union",39.78
2011,"Adventure","European Union",4.50
2011,"Fighting","European Union",5.45
2011,"Misc","European Union",13.40
2011,"Platform","European Union",8.66
2011,"Puzzle","European Union",2.16
2011,"Racing","European Union",13.29
2011,"Role-Playing","European Union",13.77
2011,"Shooter","European Union",34.55
2011,"Simulation","European Union",5.17
2011,"Sports","European Union",19.39
2011,"Strategy","European Union",2.85
2011,"Action","Japan",10.82
2011,"Adventure","Japan",3.83
2011,"Fighting","Japan",2.94
2011,"Misc","Japan",4.74
2011,"Platform","Japan",3.50
2011,"Puzzle","Japan",0.77
2011,"Racing","Japan",3.14
2011,"Role-Playing","Japan",14.43
2011,"Shooter","Japan",2.69
2011,"Simulation","Japan",1.23
2011,"Sports","Japan",3.08
2011,"Strategy","Japan",1.90
2011,"Action","Other",13.00
2011,"Adventure","Other",1.44
2011,"Fighting","Other",2.18
2011,"Misc","Other",4.74
2011,"Platform","Other",2.62
2011,"Puzzle","Other",0.42
2011,"Racing","Other",3.62
2011,"Role-Playing","Other",4.85
2011,"Shooter","Other",11.28
2011,"Simulation","Other",1.34
2011,"Sports","Other",6.44
2011,"Strategy","Other",0.82
2011,"Action","Worldwide",116.76
2011,"Adventure","Worldwide",15.61
2011,"Fighting","Worldwide",22.37
2011,"Misc","Worldwide",54.45
2011,"Platform","Worldwide",27.71
2011,"Puzzle","Worldwide",4.95
2011,"Racing","Worldwide",34.83
2011,"Role-Playing","Worldwide",52.85
2011,"Shooter","Worldwide",98.17
2011,"Simulation","Worldwide",15.13
2011,"Sports","Worldwide",56.12
2011,"Strategy","Worldwide",8.84
