"release_year","genre","region","sales"
1996,"Action","North America",10.65
1996,"Adventure","North America",0.86
1996,"Fighting","North America",7.12
1996,"Misc","North America",4.08
1996,"Platform","North America",13.81
1996,"Puzzle","North America",2.18
1996,"Racing","North America",16.94
1996,"Role-Playing","North America",12.78
1996,"Shooter","North America",3.28
1996,"Simulation","North America",5.42
1996,"Sports","North America",7.78
1996,"Strategy","North America",1.86
1996,"Action","European Union",5.88
1996,"Adventure","European Union",0.60
1996,"Fighting","European Union",4.05
1996,"Misc","European Union",2.75
1996,"Platform","European Union",6.83
1996,"Puzzle","European Union",0.29
1996,"Racing","European Union",5.19
1996,"Role-Playing","European Union",11.04
1996,"Shooter","European Union",2.14
1996,"Simulation","European Union",3.05
1996,"Sports","European Union",3.78
1996,"Strategy","European Union",1.66
1996,"Action","Japan",2.62
1996,"Adventure","Japan",2.60
1996,"Fighting","Japan",6.12
1996,"Misc","Japan",3.47
1996,"Platform","Japan",6.76
1996,"Puzzle","Japan",1.36
1996,"Racing","Japan",5.30
1996,"Role-Playing","Japan",18.78
1996,"Shooter","Japan",1.11
1996,"Simulation","Japan",2.38
1996,"Sports","Japan",5.08
1996,"Strategy","Japan",1.86
1996,"Action","Other",1.45
1996,"Adventure","Other",0.12
1996,"Fighting","Other",0.75
1996,"Misc","Other",0.36
1996,"Platform","Other",0.83
1996,"Puzzle","Other",0.09
1996,"Racing","Other",0.84
1996,"Role-Playing","Other",1.39
1996,"Shooter","Other",0.37
1996,"Simulation","Other",0.48
1996,"Sports","Other",0.78
1996,"Strategy","Other",0.23
1996,"Action","Worldwide",20.58
1996,"Adventure","Worldwide",4.19
1996,"Fighting","Worldwide",18.06
1996,"Misc","Worldwide",10.68
1996,"Platform","Worldwide",28.23
1996,"Puzzle","Worldwide",3.91
1996,"Racing","Worldwide",28.24
1996,"Role-Playing","Worldwide",43.96
1996,"Shooter","Worldwide",6.91
1996,"Simulation","Worldwide",11.33
1996,"Sports","Worldwide",17.45
1996,"Strategy","Worldwide",5.61
