"release_year","genre","region","sales"
1980,"Action","North America",0.32
1980,"Fighting","North America",0.72
1980,"Misc","North America",2.53
1980,"Shooter","North America",6.56
1980,"Sports","North America",0.46
1980,"Action","European Union",0.02
1980,"Fighting","European Union",0.04
1980,"Misc","European Union",0.15
1980,"Shooter","European Union",0.43
1980,"Sports","European Union",0.03
1980,"Action","Japan",0.00
1980,"Fighting","Japan",0.00
1980,"Misc","Japan",0.00
1980,"Shooter","Japan",0.00
1980,"Sports","Japan",0.00
1980,"Action","Other",0.00
1980,"Fighting","Other",0.01
1980,"Misc","Other",0.02
1980,"Shooter","Other",0.08
1980,"Sports","Other",0.01
1980,"Action","Worldwide",0.34
1980,"Fighting","Worldwide",0.77
1980,"Misc","Worldwide",2.71
1980,"Shooter","Worldwide",7.07
1980,"Sports","Worldwide",0.49
