"genre","region","sales"
"Action","Worldwide",1717.63
"Adventure","Worldwide",233.46
"Fighting","Worldwide",442.63
"Misc","Worldwide",790.94
"Platform","Worldwide",825.86
"Puzzle","Worldwide",240.33
"Racing","Worldwide",723.70
"Role-Playing","Worldwide",930.90
"Shooter","Worldwide",1041.83
"Simulation","Worldwide",388.40
"Sports","Worldwide",1310.39
"Strategy","Worldwide",172.85
