"release_year","genre","region","sales"
2013,"Action","North America",53.52
2013,"Adventure","North America",1.50
2013,"Fighting","North America",3.12
2013,"Misc","North America",12.44
2013,"Platform","North America",11.35
2013,"Puzzle","North America",0.18
2013,"Racing","North America",4.22
2013,"Role-Playing","North America",12.93
2013,"Shooter","North America",30.72
2013,"Simulation","North America",2.23
2013,"Sports","North America",19.14
2013,"Strategy","North America",2.30
2013,"Action","European Union",43.45
2013,"Adventure","European Union",1.76
2013,"Fighting","European Union",1.86
2013,"Misc","European Union",7.18
2013,"Platform","European Union",8.78
2013,"Puzzle","European Union",0.48
2013,"Racing","European Union",6.06
2013,"Role-Playing","European Union",8.80
2013,"Shooter","European Union",22.34
2013,"Simulation","European Union",3.62
2013,"Sports","European Union",14.79
2013,"Strategy","European Union",2.43
2013,"Action","Japan",10.91
2013,"Adventure","Japan",2.22
2013,"Fighting","Japan",1.28
2013,"Misc","Japan",3.59
2013,"Platform","Japan",2.10
2013,"Puzzle","Japan",0.25
2013,"Racing","Japan",0.54
2013,"Role-Playing","Japan",19.88
2013,"Shooter","Japan",1.74
2013,"Simulation","Japan",2.21
2013,"Sports","Japan",2.15
2013,"Strategy","Japan",0.82
2013,"Action","Other",14.63
2013,"Adventure","Other",0.61
2013,"Fighting","Other",0.83
2013,"Misc","Other",2.06
2013,"Platform","Other",2.31
2013,"Puzzle","Other",0.05
2013,"Racing","Other",1.55
2013,"Role-Playing","Other",2.84
2013,"Shooter","Other",7.24
2013,"Simulation","Other",0.57
2013,"Sports","Other",5.09
2013,"Strategy","Other",0.57
2013,"Action","Worldwide",122.57
2013,"Adventure","Worldwide",6.07
2013,"Fighting","Worldwide",7.04
2013,"Misc","Worldwide",25.28
2013,"Platform","Worldwide",24.59
2013,"Puzzle","Worldwide",0.95
2013,"Racing","Worldwide",12.33
2013,"Role-Playing","Worldwide",44.42
2013,"Shooter","Worldwide",62.05
2013,"Simulation","Worldwide",8.62
2013,"Sports","Worldwide",41.23
2013,"Strategy","Worldwide",6.09
