"release_year","genre","region","sales"
1983,"Action","North America",2.67
1983,"Adventure","North America",0.38
1983,"Misc","North America",0.01
1983,"Platform","North America",2.80
1983,"Puzzle","North America",0.72
1983,"Shooter","North America",0.45
1983,"Sports","North America",0.73
1983,"Action","European Union",0.17
1983,"Adventure","European Union",0.02
1983,"Misc","European Union",0.00
1983,"Platform","European Union",0.43
1983,"Puzzle","European Union",0.05
1983,"Shooter","European Union",0.03
1983,"Sports","European Union",0.10
1983,"Action","Japan",0.00
1983,"Adventure","Japan",0.00
1983,"Misc","Japan",2.13
1983,"Platform","Japan",3.62
1983,"Puzzle","Japan",0.00
1983,"Shooter","Japan",0.00
1983,"Sports","Japan",2.35
1983,"Action","Other",0.02
1983,"Adventure","Other",0.00
1983,"Misc","Other",0.00
1983,"Platform","Other",0.08
1983,"Puzzle","Other",0.01
1983,"Shooter","Other",0.01
1983,"Sports","Other",0.02
1983,"Action","Worldwide",2.86
1983,"Adventure","Worldwide",0.40
1983,"Misc","Worldwide",2.14
1983,"Platform","Worldwide",6.93
1983,"Puzzle","Worldwide",0.78
1983,"Shooter","Worldwide",0.48
1983,"Sports","Worldwide",3.20
