"release_year","genre","region","sales"
1992,"Action","North America",2.21
1992,"Adventure","North America",6.18
1992,"Fighting","North America",6.88
1992,"Misc","North America",2.30
1992,"Platform","North America",8.23
1992,"Puzzle","North America",1.56
1992,"Racing","North America",3.54
1992,"Role-Playing","North America",0.00
1992,"Shooter","North America",0.02
1992,"Simulation","North America",1.20
1992,"Sports","North America",1.75
1992,"Strategy","North America",0.02
1992,"Action","European Union",0.96
1992,"Adventure","European Union",2.81
1992,"Fighting","European Union",2.28
1992,"Misc","European Union",0.71
1992,"Platform","European Union",2.05
1992,"Puzzle","European Union",0.52
1992,"Racing","European Union",1.24
1992,"Role-Playing","European Union",0.00
1992,"Shooter","European Union",0.00
1992,"Simulation","European Union",0.84
1992,"Sports","European Union",0.25
1992,"Strategy","European Union",0.05
1992,"Action","Japan",0.54
1992,"Adventure","Japan",2.97
1992,"Fighting","Japan",5.75
1992,"Misc","Japan",1.81
1992,"Platform","Japan",2.79
1992,"Puzzle","Japan",2.68
1992,"Racing","Japan",4.09
1992,"Role-Playing","Japan",6.83
1992,"Shooter","Japan",0.26
1992,"Simulation","Japan",0.00
1992,"Sports","Japan",0.90
1992,"Strategy","Japan",0.29
1992,"Action","Other",0.13
1992,"Adventure","Other",0.29
1992,"Fighting","Other",0.32
1992,"Misc","Other",0.12
1992,"Platform","Other",0.34
1992,"Puzzle","Other",0.08
1992,"Racing","Other",0.18
1992,"Role-Playing","Other",0.03
1992,"Shooter","Other",0.00
1992,"Simulation","Other",0.10
1992,"Sports","Other",0.05
1992,"Strategy","Other",0.01
1992,"Action","Worldwide",3.83
1992,"Adventure","Worldwide",12.24
1992,"Fighting","Worldwide",15.25
1992,"Misc","Worldwide",4.94
1992,"Platform","Worldwide",13.42
1992,"Puzzle","Worldwide",4.84
1992,"Racing","Worldwide",9.04
1992,"Role-Playing","Worldwide",6.86
1992,"Shooter","Worldwide",0.29
1992,"Simulation","Worldwide",2.14
1992,"Sports","Worldwide",2.95
1992,"Strategy","Worldwide",0.37
