"release_year","genre","region","sales"
1988,"Action","North America",1.15
1988,"Platform","North America",16.34
1988,"Puzzle","North America",2.97
1988,"Racing","North America",1.47
1988,"Role-Playing","North America",0.10
1988,"Shooter","North America",0.47
1988,"Simulation","North America",0.00
1988,"Sports","North America",1.37
1988,"Action","European Union",0.16
1988,"Platform","European Union",4.99
1988,"Puzzle","European Union",0.69
1988,"Racing","European Union",0.38
1988,"Role-Playing","European Union",0.00
1988,"Shooter","European Union",0.03
1988,"Simulation","European Union",0.02
1988,"Sports","European Union",0.32
1988,"Action","Japan",0.42
1988,"Platform","Japan",5.70
1988,"Puzzle","Japan",1.81
1988,"Racing","Japan",0.19
1988,"Role-Playing","Japan",5.78
1988,"Shooter","Japan",0.00
1988,"Simulation","Japan",0.00
1988,"Sports","Japan",1.86
1988,"Action","Other",0.01
1988,"Platform","Other",0.70
1988,"Puzzle","Other",0.11
1988,"Racing","Other",0.10
1988,"Role-Playing","Other",0.00
1988,"Shooter","Other",0.01
1988,"Simulation","Other",0.01
1988,"Sports","Other",0.05
1988,"Action","Worldwide",1.75
1988,"Platform","Worldwide",27.73
1988,"Puzzle","Worldwide",5.58
1988,"Racing","Worldwide",2.14
1988,"Role-Playing","Worldwide",5.88
1988,"Shooter","Worldwide",0.51
1988,"Simulation","Worldwide",0.03
1988,"Sports","Worldwide",3.60
