"release_year","genre","region","sales"
2007,"Action","North America",58.43
2007,"Adventure","North America",12.89
2007,"Fighting","North America",7.26
2007,"Misc","North America",47.55
2007,"Platform","North America",18.81
2007,"Puzzle","North America",9.91
2007,"Racing","North America",18.39
2007,"Role-Playing","North America",19.60
2007,"Shooter","North America",38.85
2007,"Simulation","North America",26.83
2007,"Sports","North America",47.59
2007,"Strategy","North America",3.78
2007,"Action","European Union",25.08
2007,"Adventure","European Union",5.45
2007,"Fighting","European Union",3.42
2007,"Misc","European Union",20.62
2007,"Platform","European Union",9.62
2007,"Puzzle","European Union",8.67
2007,"Racing","European Union",13.01
2007,"Role-Playing","European Union",8.21
2007,"Shooter","European Union",21.81
2007,"Simulation","European Union",13.82
2007,"Sports","European Union",26.30
2007,"Strategy","European Union",1.81
2007,"Action","Japan",6.13
2007,"Adventure","Japan",3.55
2007,"Fighting","Japan",2.73
2007,"Misc","Japan",11.46
2007,"Platform","Japan",2.98
2007,"Puzzle","Japan",3.06
2007,"Racing","Japan",0.94
2007,"Role-Playing","Japan",12.43
2007,"Shooter","Japan",1.53
2007,"Simulation","Japan",3.02
2007,"Sports","Japan",9.59
2007,"Strategy","Japan",2.87
2007,"Action","Other",15.21
2007,"Adventure","Other",2.24
2007,"Fighting","Other",4.08
2007,"Misc","Other",11.83
2007,"Platform","Other",3.66
2007,"Puzzle","Other",1.92
2007,"Racing","Other",6.44
2007,"Role-Playing","Other",3.22
2007,"Shooter","Other",8.42
2007,"Simulation","Other",4.68
2007,"Sports","Other",14.25
2007,"Strategy","Other",0.80
2007,"Action","Worldwide",104.97
2007,"Adventure","Worldwide",24.10
2007,"Fighting","Worldwide",17.49
2007,"Misc","Worldwide",91.52
2007,"Platform","Worldwide",35.10
2007,"Puzzle","Worldwide",23.74
2007,"Racing","Worldwide",38.87
2007,"Role-Playing","Worldwide",43.45
2007,"Shooter","Worldwide",70.67
2007,"Simulation","Worldwide",48.42
2007,"Sports","Worldwide",97.78
2007,"Strategy","Worldwide",9.26
