"release_year","genre","region","sales"
1995,"Action","Other",0.14
1995,"Adventure","Other",0.01
1995,"Fighting","Other",0.56
1995,"Misc","Other",0.09
1995,"Platform","Other",0.50
1995,"Puzzle","Other",0.01
1995,"Racing","Other",0.31
1995,"Role-Playing","Other",0.17
1995,"Shooter","Other",0.12
1995,"Simulation","Other",0.15
1995,"Sports","Other",0.28
1995,"Strategy","Other",0.30
