"release_year","genre","region","sales"
1984,"Action","Japan",0.83
1984,"Misc","Japan",1.45
1984,"Platform","Japan",0.69
1984,"Puzzle","Japan",2.23
1984,"Racing","Japan",3.09
1984,"Shooter","Japan",1.96
1984,"Sports","Japan",4.02
